ID,Geslacht,Leeftijd,ZorgvormZvwZorgkosten,Perioden,PersonenMetZvwZorgkostenRelatief_1,GemiddeldeZorgkostenAllePersonen_2,GemiddeldeZorgkostenGebruikers_3,Zorgkosten50ePercentielGebruikers_4,Zorgkosten95ePercentielGebruikers_5,Zorgkosten99ePercentielGebruikers_6
229,T001038,70502  ,T001338,2021JJ00,98.9,2150.0,2191.0,418.0,8792.0,29019.0
230,T001038,70502  ,T001338,2022JJ00,98.8,2306.0,2360.0,449.0,9617.0,30622.0
231,T001038,70502  ,T001338,2023JJ00,98.8,2474.0,2552.0,505.0,10356.0,32613.0
232,T001038,70502  ,A042743,2020JJ00,98.5,160.0,164.0,124.0,370.0,648.0
233,T001038,70502  ,A042743,2021JJ00,98.5,174.0,175.0,135.0,389.0,663.0
234,T001038,70502  ,A042743,2022JJ00,98.4,179.0,181.0,140.0,397.0,662.0
235,T001038,70502  ,A042743,2023JJ00,98.4,198.0,201.0,155.0,444.0,741.0
236,T001038,70502  ,A042745,2020JJ00,59.1,33.0,56.0,14.0,314.0,501.0
237,T001038,70502  ,A042745,2021JJ00,59.9,33.0,56.0,14.0,305.0,519.0
238,T001038,70502  ,A042745,2022JJ00,65.4,34.0,53.0,17.0,278.0,453.0
239,T001038,70502  ,A042745,2023JJ00,91.4,40.0,44.0,18.0,214.0,378.0
240,T001038,70502  ,A042744,2020JJ00,54.5,1102.0,2053.0,447.0,8168.0,27887.0
241,T001038,70502  ,A042744,2021JJ00,57.0,1225.0,2165.0,478.0,8672.0,28897.0
242,T001038,70502  ,A042744,2022JJ00,58.0,1240.0,2164.0,488.0,8804.0,28459.0
243,T001038,70502  ,A042744,2023JJ00,59.4,1337.0,2293.0,524.0,9296.0,29805.0
244,T001038,70502  ,A042746,2020JJ00,66.6,263.0,413.0,97.0,1380.0,5330.0
245,T001038,70502  ,A042746,2021JJ00,66.6,258.0,410.0,100.0,1397.0,5306.0
246,T001038,70502  ,A042746,2022JJ00,67.3,273.0,435.0,102.0,1474.0,5636.0
247,T001038,70502  ,A042746,2023JJ00,67.4,278.0,455.0,106.0,1562.0,5863.0
248,T001038,70502  ,A042748,2020JJ00,1.9,14.0,752.0,434.0,2838.0,4970.0
249,T001038,70502  ,A042748,2021JJ00,2.0,16.0,806.0,461.0,3061.0,5135.0
250,T001038,70502  ,A042748,2022JJ00,1.9,15.0,801.0,458.0,2975.0,5199.0
251,T001038,70502  ,A042748,2023JJ00,1.9,17.0,870.0,507.0,3201.0,5431.0
252,T001038,70502  ,A042749,2020JJ00,0.3,6.0,1766.0,1639.0,4514.0,6912.0
253,T001038,70502  ,A042749,2021JJ00,0.3,6.0,1822.0,1682.0,4717.0,7366.0
254,T001038,70502  ,A042749,2022JJ00,0.3,6.0,1774.0,1539.0,4751.0,7347.0
255,T001038,70502  ,A042749,2023JJ00,0.4,7.0,1932.0,1601.0,5281.0,7997.0
256,T001038,70502  ,A042750,2020JJ00,5.1,24.0,465.0,185.0,1879.0,3345.0
257,T001038,70502  ,A042750,2021JJ00,6.3,37.0,581.0,220.0,2235.0,3742.0
258,T001038,70502  ,A042750,2022JJ00,6.6,39.0,578.0,233.0,2234.0,3761.0
